DATA_CREDITO;ANO_MES_REPASSE;DATA_REPASSE;NOME_MUNICIPIO;DEDUCAO_FUNDEB_ICMS;VALOR_BRUTO_ICMS;VALOR_CREDITADO_ICMS;DEDUCAO_FUNDEB_IPI;VALOR_BRUTO_IPI;VALOR_CREDITADO_IPI;DEDUCAO_FUNDEB_IPVA;VALOR_BRUTO_IPVA;VALOR_CREDITADO_IPVA
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;AVELINOPOLIS;5791.6;5791.6;0.0;0.0;0.0;0.0;118.22;118.22;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;BALIZA;9450.300000000001;9450.300000000001;0.0;0.0;0.0;0.0;7.640000000000001;7.640000000000001;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"BARRO ALTO";63675.1;63675.1;0.0;0.0;0.0;0.0;761.01;761.01;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"BELA VISTA DE GOIAS";89622.19;89622.19;0.0;0.0;0.0;0.0;3398.06;3398.06;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"BOM JARDIM DE GOIAS";12610.39;12610.39;0.0;0.0;0.0;0.0;1196.55;1196.55;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"BOM JESUS DE GOIAS";45664.16;45664.16;0.0;0.0;0.0;0.0;3409.48;3409.48;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;BONFINOPOLIS;10865.95;10865.95;0.0;0.0;0.0;0.0;1254.39;1254.39;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;BONOPOLIS;8718.36;8718.36;0.0;0.0;0.0;0.0;189.24;189.24;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;BRAZABRANTES;7939.72;7939.72;0.0;0.0;0.0;0.0;724.39;724.39;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;BRITANIA;20175.760000000002;20175.760000000002;0.0;0.0;0.0;0.0;381.95;381.95;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"BURITI ALEGRE";27164.66;27164.66;0.0;0.0;0.0;0.0;1188.56;1188.56;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"BURITI DE GOIAS";10199.2;10199.2;0.0;0.0;0.0;0.0;618.67;618.67;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;BURITINOPOLIS;12412.23;12412.23;0.0;0.0;0.0;0.0;36.22;36.22;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;CABECEIRAS;14353.83;14353.83;0.0;0.0;0.0;0.0;107.81;107.81;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"CACHOEIRA ALTA";42012.96;42012.96;0.0;0.0;0.0;0.0;219.55;219.55;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"CACHOEIRA DE GOIAS";9816.65;9816.65;0.0;0.0;0.0;0.0;;;
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"CACHOEIRA DOURADA";57562.23;57562.23;0.0;0.0;0.0;0.0;637.6;637.6;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;CACU;61645.4;61645.4;0.0;0.0;0.0;0.0;782.11;782.11;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;CAIAPONIA;42639.020000000004;42639.020000000004;0.0;0.0;0.0;0.0;1181.59;1181.59;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;"CALDAS NOVAS";68040.35;68040.35;0.0;0.0;0.0;0.0;15880.54;15880.54;0.0
2019-01-02T00:00:00.000-02:00;201901;2019-01-02T00:00:00.000-02:00;CALDAZINHA;6066.13;6066.13;0.0;0.0;0.0;0.0;384.90000000000003;384.90000000000003;0.0
