DATA_CREDITO;ANO_MES_REPASSE;DATA_REPASSE;NOME_MUNICIPIO;DEDUCAO_FUNDEB_ICMS;VALOR_BRUTO_ICMS;VALOR_CREDITADO_ICMS;DEDUCAO_FUNDEB_IPI;VALOR_BRUTO_IPI;VALOR_CREDITADO_IPI;DEDUCAO_FUNDEB_IPVA;VALOR_BRUTO_IPVA;VALOR_CREDITADO_IPVA
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"ABADIA DE GOIAS";23289.8;116449.22;93159.42;0.0;0.0;0.0;5684.66;16414.86;10730.2
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ABADIANIA;20278.09;101390.44;81112.35;0.0;0.0;0.0;5481.18;13777.12;8295.94
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ACREUNA;34354.24;171771.25;137417.01;0.0;0.0;0.0;16475.28;37887.96;21412.68
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ADELANDIA;6000.18;30000.93;24000.75;0.0;0.0;0.0;1397.22;4697.68;3300.46
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"AGUA FRIA DE GOIAS";20166.170000000002;100830.83;80664.66;0.0;0.0;0.0;1071.26;3186.46;2115.2
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"AGUA LIMPA";11715.81;58578.94;46863.13;0.0;0.0;0.0;861.84;1649.5;787.66
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"AGUAS LINDAS DE GOIAS";41345.36;206726.78;165381.42;0.0;0.0;0.0;15393.800000000001;33280.840000000004;17887.04
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ALEXANIA;52367.630000000005;261838.0;209470.37;0.0;0.0;0.0;9452.42;28834.2;19381.78
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ALOANDIA;6347.2;31736.08;25388.88;0.0;0.0;0.0;522.66;4664.9800000000005;4142.32
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"ALTO HORIZONTE";87602.13;438010.8;350408.67;0.0;0.0;0.0;3966.08;7243.06;3276.98
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"ALTO PARAISO DE GOIAS";13930.130000000001;69650.8;55720.67;0.0;0.0;0.0;3339.02;7780.900000000001;4441.88
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"ALVORADA DO NORTE";12479.720000000001;62398.67;49918.950000000004;0.0;0.0;0.0;5574.36;11082.86;5508.5
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;AMARALINA;8417.65;42088.36;33670.71;0.0;0.0;0.0;91.02;1650.38;1559.3600000000001
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"AMERICANO DO BRASIL";6489.58;32447.84;25958.260000000002;0.0;0.0;0.0;2549.76;7303.56;4753.8
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;AMORINOPOLIS;8033.21;40166.11;32132.9;0.0;0.0;0.0;1075.9;3765.88;2689.98
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ANAPOLIS;815870.8300000001;4079354.16;3263483.33;0.0;0.0;0.0;309527.10000000003;927274.12;617747.02
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ANHANGUERA;5068.31;25341.4;20273.09;0.0;0.0;0.0;233.04;831.76;598.72
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ANICUNS;26314.420000000002;131572.33000000002;105257.91;0.0;0.0;0.0;6946.14;26377.260000000002;19431.12
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"APARECIDA DE GOIANIA";563761.96;2818809.88;2255047.92;0.0;0.0;0.0;275288.96;887828.24;612539.28
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;"APARECIDA DO RIO DOCE";12674.5;63372.630000000005;50698.130000000005;0.0;0.0;0.0;752.5;4350.14;3597.64
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;APORE;31696.600000000002;158483.0;126786.40000000001;0.0;0.0;0.0;1199.3600000000001;3948.2200000000003;2748.86
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ARACU;6308.35;31541.54;25233.190000000002;0.0;0.0;0.0;793.46;3970.3;3176.84
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ARAGARCAS;12748.210000000001;63741.020000000004;50992.81;0.0;0.0;0.0;13634.58;37801.340000000004;24166.760000000002
2019-06-04T00:00:00.000-03:00;201906;2019-06-04T00:00:00.000-03:00;ARAGOIANIA;9881.33;49406.520000000004;39525.19;0.0;0.0;0.0;3785.26;8522.14;4736.88
